label, timestamp
Vehicle, 11.978000
Apparel, 12.479000
Audience, 12.479000
Cap, 12.479000
Clothing, 12.479000
Coat, 12.479000
Crowd, 12.479000
Face, 12.479000
Festival, 12.479000
Flag, 12.479000
Hat, 12.479000
Helmet, 12.479000
Human, 12.479000
Offroad, 12.479000
Parade, 12.479000
People, 12.479000
Person, 12.479000
Protest, 12.479000
Rally, 12.479000
Symbol, 12.479000
Transportation, 12.479000
Vehicle, 12.479000
Accessories, 12.979000
Accessory, 12.979000
Apparel, 12.979000
Audience, 12.979000
Cap, 12.979000
Clothing, 12.979000
Coat, 12.979000
Crowd, 12.979000
Face, 12.979000
Female, 12.979000
Festival, 12.979000
Footwear, 12.979000
Glasses, 12.979000
Hat, 12.979000
Helmet, 12.979000
Human, 12.979000
Jacket, 12.979000
Offroad, 12.979000
Overcoat, 12.979000
Parade, 12.979000
People, 12.979000
Person, 12.979000
Protest, 12.979000
Rally, 12.979000
Shoe, 12.979000
Transportation, 12.979000
Vehicle, 12.979000
Accessories, 13.480000
Accessory, 13.480000
Advertisement, 13.480000
Apparel, 13.480000
Audience, 13.480000
Brochure, 13.480000
Cap, 13.480000
Clothing, 13.480000
Coat, 13.480000
Crowd, 13.480000
Face, 13.480000
Festival, 13.480000
Flyer, 13.480000
Footwear, 13.480000
Glasses, 13.480000
Hat, 13.480000
Helmet, 13.480000
Human, 13.480000
Offroad, 13.480000
Overcoat, 13.480000
Paper, 13.480000
Parade, 13.480000
People, 13.480000
Person, 13.480000
Poster, 13.480000
Protest, 13.480000
Rally, 13.480000
Shoe, 13.480000
Transportation, 13.480000
Vehicle, 13.480000
Advertisement, 13.980000
Apparel, 13.980000
Audience, 13.980000
Brochure, 13.980000
Cap, 13.980000
Clothing, 13.980000
Coat, 13.980000
Costume, 13.980000
Crowd, 13.980000
Face, 13.980000
Festival, 13.980000
Flyer, 13.980000
Hat, 13.980000
Human, 13.980000
Offroad, 13.980000
Overcoat, 13.980000
Paper, 13.980000
Parade, 13.980000
People, 13.980000
Person, 13.980000
Poster, 13.980000
Protest, 13.980000
Rally, 13.980000
Transportation, 13.980000
Vehicle, 13.980000
Apparel, 14.481000
Audience, 14.481000
Clothing, 14.481000
Coat, 14.481000
Crowd, 14.481000
Face, 14.481000
Festival, 14.481000
Human, 14.481000
Offroad, 14.481000
Overcoat, 14.481000
Parade, 14.481000
People, 14.481000
Person, 14.481000
Protest, 14.481000
Rally, 14.481000
Transportation, 14.481000
Vehicle, 14.481000
Apparel, 14.981000
Audience, 14.981000
Clothing, 14.981000
Coat, 14.981000
Crowd, 14.981000
Face, 14.981000
Festival, 14.981000
Human, 14.981000
Marching, 14.981000
Offroad, 14.981000
Overcoat, 14.981000
Parade, 14.981000
People, 14.981000
Person, 14.981000
Protest, 14.981000
Rally, 14.981000
Symbol, 14.981000
Transportation, 14.981000
Vehicle, 14.981000
Apparel, 15.482000
Audience, 15.482000
Clothing, 15.482000
Coat, 15.482000
Costume, 15.482000
Crowd, 15.482000
Face, 15.482000
Festival, 15.482000
Flag, 15.482000
Human, 15.482000
Marching, 15.482000
Offroad, 15.482000
